registry,filename_stem,device_name,manufacturer,catalog_category,clearance_type,clearance_number,clearance_date,device_class,device_name_fda,product_code,what_it_is,indications,contraindications,compatible_with,use_notes,deployment_steps,also_known_as,sizing_specs_raw,spec_status,id_od_units,id_in,id_mm,id_fr,id_note,od_prox_in,od_prox_mm,od_prox_fr,od_prox_note,od_dist_in,od_dist_mm,od_dist_fr,od_dist_note,od_max_in,od_max_mm,od_max_fr,od_max_note,guidewire_max,max_od_is_proximal,id_od_verbatim_quote,k_number,source_url,source_name,source_type,extraction_method,extracted_date,review_note,pdf_summary_url,ifu_pdf_url,device_source_url,confidence_score,needs_review,data_sources
Stent Lengths (mm): 12–33
Materials: Nitinol with tantalum markers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,True,fda
intracranial_coil_assist_stents,intracranial-stent--microvention--low-profile-visualized-intraluminal-support-lvis-lvis-jr,"Low-Profile Visualized Intraluminal Support (LVIS), LVIS Jr",microvention,intracranial-stent,pma,P170013,2024-08-21,3,"Low-Profile Visualized Intraluminal Support (LVIS), LVIS Jr",QCA,,,,,"[FDA RECALL] 1 active recall(s).
  - Potential for Polytetrafluoethylene (PTFE) material encasing the stent loop may prevent the stent from being pushed out of the introducer.",,,"Stent Diameters (mm): 2.5, 3.5
Stent Lengths (mm): 13–33
Materials: Nitinol with tantalum markers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,True,fda
intracranial_coil_assist_stents,intracranial-stent--microvention--low-profile-visualized-intraluminal-support-lvis-lvis-jr-lvis-evo,"Low-Profile Visualized Intraluminal Support (LVIS), LVIS Jr., LVIS EVO",microvention,intracranial-stent,pma,P170013,2022-07-28,3,"Low-Profile Visualized Intraluminal Support (LVIS), LVIS Jr., LVIS EVO",QCA,,,,,"[FDA RECALL] 1 active recall(s).
  - Potential for Polytetrafluoethylene (PTFE) material encasing the stent loop may prevent the stent from being pushed out of the introducer.",,,"Stent Diameters (mm): 3.5, 4, 4.5, 5.5
Stent Lengths (mm): 12–33
Materials: Nitinol with tantalum markers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,True,fda
intracranial_coil_assist_stents,intracranial-stent--microvention--lvistm-evotm,LVIS™ EVO™,microvention,intracranial-stent,,,,0,,,LVIS™ EVO™,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.terumoneuro.com/products/lvis-evo,0.3,True,scraper
intracranial_coil_assist_stents,intracranial-stent--microvention--lvistm-lvistm-jr,LVIS™ & LVIS™ Jr,microvention,intracranial-stent,,,,0,,,LVIS™ & LVIS™ Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.terumoneuro.com/products/lvis-family,0.3,True,scraper
intracranial_coil_assist_stents,intracranial-stent--stryker--neuroform-ez,Neuroform EZ,stryker,intracranial-stent,,,,0,,,Stent System,,,,MRI: MR Conditional. Pre-sterilized. Single-use,,NEUROFORM EZ 3 | Bare-metal intracranial vascular stent,Catalog: M003N3EZ30150; Model: M003N3EZ30150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.stryker.com/us/en/neurovascular/products/neuroform-ez-stent-system.html,0.3,True,scraper
intracranial_neurovascular_stents,intracranial-stent--stryker--wingspan-stent-system,Wingspan Stent System,stryker,intracranial-stent,,,,0,,,Read Now,"/ indications for use
The Wingspan Stent System with Gateway PTA Balloon
Catheter is Authorized by Federal law for use in
improving cerebral artery lumen diameter in patients
22 to 80 years old with recurrent (2 or more) strokes
refractory to a comprehensive regimen of medical therapy
and due to atherosclerotic disease of intracranial vessels
with 70-99% stenosis that are accessible to the system.
The most recent stroke must have occurred more than 7
days prior to treatment with the Wingspan Stent System.
Patients are eligible for treatment with the Wingspan
Stent System if their Modified Rankin Score (mRS) is 3 or
less at the time of treatment.",,,,,,4.50 mm; 14 mm; 2 mm; 3 mm; 2.5 mm; 4.5 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.stryker.com/us/en/neurovascular/products/wingspan-stent-system.html,0.3,True,scraper
intrasaccular_flow_disruptors,intrasaccular--microvention--webtm-embolization-system,WEB™ Embolization System,microvention,intrasaccular,,,,0,,,WEB™ Embolization System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.terumoneuro.com/products/web-family,0.3,True,scraper
intrasaccular_flow_disruptors,intrasaccular--microvention--woven-endobridge-aneurysm-embolization-web-system,Woven EndoBridge Aneurysm Embolization (WEB) System,microvention,intrasaccular,pma,P170032,2024-09-23,3,Woven EndoBridge Aneurysm Embolization (WEB) System,OPR,,,,,"[FDA RECALL] 1 active recall(s).
  - Detachment controller, of an aneurysm embolization system, has an out of specification tunnel opening dimension, which may prevent the implant device pusher from being fully inserted into the controll",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,True,fda
intrasaccular_flow_disruptors,intrasaccular--microvention--woven-endobridge-web-aneurysm-embolization-system,Woven EndoBridge (WEB) Aneurysm Embolization System,microvention,intrasaccular,pma,P170032,2024-08-14,3,Woven EndoBridge (WEB) Aneurysm Embolization System,OPR,,,,,"[FDA RECALL] 1 active recall(s).
  - Detachment controller, of an aneurysm embolization system, has an out of specification tunnel opening dimension, which may prevent the implant device pusher from being fully inserted into the controll",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,True,fda
intrasaccular_flow_disruptors,intrasaccular--microvention--woven-endobridge-web-aneurysm-embolization-system-web-017,Woven EndoBridge (WEB) Aneurysm Embolization System (WEB 017),microvention,intrasaccular,pma,P170032,2021-01-11,3,Woven EndoBridge (WEB) Aneurysm Embolization System (WEB 017),OPR,,,,,"[FDA RECALL] 1 active recall(s).
  - Detachment controller, of an aneurysm embolization system, has an out of specification tunnel opening dimension, which may prevent the implant device pusher from being fully inserted into the controll",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,True,fda
neurovascular_access_catheters,balloon-catheter--asahi-intecc-co-ltd--branchor-balloon-guide-catheter,Branchor Balloon Guide Catheter,asahi-intecc-co-ltd,balloon-catheter,510k,K203723,2021-12-10,2,Branchor Balloon Guide Catheter,QJP,"Device Description:
The Branchor Balloon Guide Catheter has the same design, materials and accessories as the
predicate device (K203723). The change to the subject device includes performance testing and
labeling to allow use with a power injector.
This balloon guide catheter is a variable stiffness catheter that has a radiopaque marker at the
distal end of the balloon and a branched connector at the proximal end, and is equipped with a braid
reinforced coaxial lumen. A balloon is attached to the distal end, and the dimensions of this balloon
guide catheter and the recommended balloon injection volume are indicated on the product label.
The balloon guide catheter is provided sterile, using ethylene oxide, and is intended for single use
only by physicians who have been adequately trained in neurointerventional procedures.
The outer surface of this balloon guide catheter is coated with a hydrophilic coating in order to
enhance lubricity when the surface is wet. The shaft lumen is provided with PTFE coating,
except the connector part, to facilitate the passage of the guidewire and other devices through
the section.

| DATE PREPARED: | 11 OCT 2022 |
| --- | --- |
| SUBMITTER: | ASAHI INTECC CO., LTD
3-100 Akatsuki-cho, Seto
Aichi 489-0071, Japan
Telephone: +81 561 48 5551 |
| PRIMARY CONTACT: | Mrs. Cynthia Valenzuela
Director, Global Regulatory Affairs
ASAHI INTECC USA, INC.
3002 Dow Avenue, Suite 212
Tustin, California 92780
Phone: (949) 413 0071
Email: cynthiav@asahi-intecc-us.com |
| TRADE NAME: | Branchor Balloon Guide Catheter |
| DEVICE CLASSIFICATION: | Class II, 21 CFR §870.1250 |
| CLASSIFICATION NAME: | Percutaneous Catheter |
| PRODUCT CODE: | QJP, Catheter, Percutaneous, Neurovasculature |
| PREDICATE DEVICE: | Branchor Balloon Guide Catheter (K203723) |

2
Accessories
The Branchor Balloon Guide Catheter is packaged with a peel-away to protect the balloon during
catheter introduction, a 1mL syringe for balloon inflation and deflation, and a three-way stopcock
to connect the syringe for inflation and deflation of the balloon.
Intended Use/Indications for Use
The Branchor Balloon Guide Catheter is indicated for use to facilitate the insertion and
guidance of an intravascular catheter into a selected blood vessel in the neuro vasculature,
and injection of contrast media.
The balloon provides temporary vascular occlusion during these procedures.
The Branchor Balloon Guide Catheter can also be used as a conduit for retrieval devices.
Comparison of Indications for Use and Technological Characteristics:
The Branchor Balloon Guide Catheter has identical
• Indications for use,
• Fundamental principles of operation,
• Fundamental design and materials,
• Packaging and sterilization of devices
as the marketed predicate device. A tabular comparison of the specific technological
characteristics between the predicate device and subject device is provided below. The labeling
changes to allow the use of power injectors with the subject device do not raise new questions
of safety and effectiveness.

3
Table 1: Comparison Table
Name of Device Branchor Balloon Guide Catheter Branchor Balloon Guide Catheter
Predicate Subject Device
510(K) Number: K203723 K221951
Indications for Use The Branchor Balloon Guide The Branchor Balloon Guide
Catheter is indicated for use to Catheter is indicated for use to
facilitate the insertion and facilitate the insertion and
guidance of an intravascular guidance of an intravascular
catheter into a selected blood catheter into a selected blood
vessel in the neuro vasculature, vessel in the neuro vasculature,
and injection of contrast media. and injection of contrast media.
The balloon provides temporary The balloon provides temporary
vascular occlusion during these vascular occlusion during these
procedures. procedures.
The Branchor Balloon Guide Catheter The Branchor Balloon Guide
can also be used as a conduit for Catheter can also be used as a
retrieval devices. conduit for retrieval devices.
Device Description This balloon guide catheter is a This balloon guide catheter is a
variable stiffness catheter that has a variable stiffness catheter that has a
radio-opaque marker at the distal end radio-opaque marker at the distal end
of the balloon to facilitate fluoroscopic of the balloon to facilitate fluoroscopic
visualization and indicate the balloon visualization and indicate the balloon
position, a branched connector at the position, a branched connector at the
proximal end, and is equipped with a proximal end, and is equipped with a
braid reinforced coaxial lumen. A braid reinforced coaxial lumen. A
balloon is attached to the distal end, balloon is attached to the distal end,
and the dimensions of this balloon and the dimensions of this balloon
guide catheter and recommended guide catheter and recommended
balloon injection volume are provided balloon injection volume are provided
on the product label. on the product label.
The outer surface of this balloon guide The outer surface of this balloon
catheter is coated with a hydrophilic guide catheter is coated with a
coating for enhanced lubricity when the hydrophilic coating for enhanced
surface is wet. lubricity when the surface is wet.
The shaft lumen is provided with PTFE The shaft lumen is provided with
coating, with the exception of the PTFE coating, with the exception of
connector section to facilitate the the connector section to facilitate
passage of the guidewire and other the passage of the guidewire and
devices through the section. other devices through the section.

| Name of Device | Branchor Balloon Guide Catheter | Branchor Balloon Guide Catheter |
| --- | --- | --- |
|  |  |  |
|  | Predicate | Subject Device |
| 510(K) Number: | K203723 | K221951 |
| Indications for Use | The Branchor Balloon Guide
Catheter is indicated for use to
facilitate the insertion and
guidance of an intravascular
catheter into a selected blood
vessel in the neuro vasculature,
and injection of contrast media.
The balloon provides temporary
vascular occlusion during these
procedures.
The Branchor Balloon Guide Catheter
can also be used as a conduit for
retrieval devices. | The Branchor Balloon Guide
Catheter is indicated for use to
facilitate the insertion and
guidance of an intravascular
catheter into a selected blood
vessel in the neuro vasculature,
and injection of contrast media.
The balloon provides temporary
vascular occlusion during these
procedures.
The Branchor Balloon Guide
Catheter can also be used as a
conduit for retrieval devices. |
| Device Description | This balloon guide catheter is a
variable stiffness catheter that has a
radio-opaque marker at the distal end
of the balloon to facilitate fluoroscopic
visualization and indicate the balloon
position, a branched connector at the
proximal end, and is equipped with a
braid reinforced coaxial lumen. A
balloon is attached to the distal end,
and the dimensions of this balloon
guide catheter and recommended
balloon injection volume are provided
on the product label.
The outer surface of this balloon guide
catheter is coated with a hydrophilic
coating for enhanced lubricity when the
surface is wet.
The shaft lumen is provided with PTFE
coating, with the exception of the
connector section to facilitate the
passage of the guidewire and other
devices through the section. | This balloon guide catheter is a
variable stiffness catheter that has a
radio-opaque marker at the distal end
of the balloon to facilitate fluoroscopic
visualization and indicate the balloon
position, a branched connector at the
proximal end, and is equipped with a
braid reinforced coaxial lumen. A
balloon is attached to the distal end,
and the dimensions of this balloon
guide catheter and recommended
balloon injection volume are provided
on the product label.
The outer surface of this balloon
guide catheter is coated with a
hydrophilic coating for enhanced
lubricity when the surface is wet.
The shaft lumen is provided with
PTFE coating, with the exception of
the connector section to facilitate
the passage of the guidewire and
other devices through the section. |

4
Name of Device Branchor Balloon Guide Catheter Branchor Balloon Guide Catheter
510(K) Number: K203723 K221951
Regulation 21 CFR § 870.1250 21 CFR § 870.1250
Number:
Regulation Catheter, Percutaneous, Catheter, Percutaneous,
Description: Neurovasculature Neurovasculature
Regulatory Class: II II
Product Code: QJP QJP
DQY
Product
Information:
Size Shaft OD: 3.00 mm Shaft OD: 3.00 mm
Shaft ID: 2.28 mm Shaft ID: 2.28 mm
Effective Length 90 cm, 100 cm 90 cm, 100 cm
Balloon Material Polyurethane elastomer Polyurethane elastomer
Shaft Material Polyurethane Elastomer Polyurethane Elastomer
Polyamide 12 Elastomer Polyamide 12 Elastomer
Polyamide 12 Polyamide 12
Stainless Steel Stainless Steel
Polytetrafluoroethylene Polytetrafluoroethylene
Accessories Peel-away Peel-away
Syringe Syringe
Three way stopcock Three way stopcock
Sterilization Method Ethylene Oxide Ethylene Oxide
Sterility Level SAL10-6 SAL10-6
Single Use Yes Yes
Radiopaque Markers Yes Yes
Anatomical Sites Neuro vascular Neuro vascular

| Name of Device | Branchor Balloon Guide Catheter | Branchor Balloon Guide Catheter |
| --- | --- | --- |
|  |  |  |
| 510(K) Number: | K203723 | K221951 |
| Regulation
Number: | 21 CFR § 870.1250 | 21 CFR § 870.1250 |
| Regulation
Description: | Catheter, Percutaneous,
Neurovasculature | Catheter, Percutaneous,
Neurovasculature |
| Regulatory Class: | II | II |
| Product Code: | QJP
DQY | QJP |
| Product |  |  |
| Information: |  |  |
| Size | Shaft OD: 3.00 mm
Shaft ID: 2.28 mm | Shaft OD: 3.00 mm
Shaft ID: 2.28 mm |
| Effective Length | 90 cm, 100 cm | 90 cm, 100 cm |
| Balloon Material | Polyurethane elastomer | Polyurethane elastomer |
| Shaft Material | Polyurethane Elastomer
Polyamide 12 Elastomer
Polyamide 12
Stainless Steel
Polytetrafluoroethylene | Polyurethane Elastomer
Polyamide 12 Elastomer
Polyamide 12
Stainless Steel
Polytetrafluoroethylene |
| Accessories | Peel-away
Syringe
Three way stopcock | Peel-away
Syringe
Three way stopcock |
| Sterilization Method | Ethylene Oxide | Ethylene Oxide |
| Sterility Level | SAL10-6 | SAL10-6 |
| Single Use | Yes | Yes |
| Radiopaque Markers | Yes | Yes |
| Anatomical Sites | Neuro vascular | Neuro vascular |

5
PERFORMANCE TESTING:
Non-clinical bench testing was performed on the Branchor Balloon Guide Catheter to allow use
with power injectors. The following testing was performed:
Table 2: Performance Testing
Test Result
Burst Pressure under static condition Pass
Power Injection Pass
Flow Rate Pass
The testing of non-aged and aged devices was performed.
The in vitro bench tests demonstrated that the Branchor Balloon Guide Catheter met all
acceptance criteria. Performance data demonstrates that the device functions as intended and
has a safety and effectiveness profile that is similar to the predicate device.
BIOCOMPATIBILITY, STERILIZATION and SHELF LIFE:
The change to the subject device does not impact biocompatibility, sterilization, and shelf life,
as compared to the predicate device.
CONCLUSION:
The Branchor Balloon Guide Catheter has similar intended use, same technological
characteristics, such as components, design, materials, sterilization method, shelf life and
operating principles, as the predicate device. Performance data demonstrate that the subject
device functions as intended. The conclusions drawn from the nonclinical tests demonstrate
that the Branchor Balloon Guide Catheter is substantially equivalent to the legally marketed
predicate device.

| Test | Result |
| --- | --- |
|  |  |
| Burst Pressure under static condition | Pass |
| Power Injection | Pass |
| Flow Rate | Pass |","Indications for Use See PRA Statement below
510(k) Number (if known)
K221951
Device Name
II ranchor I Ialloon Guide ('atheter
Indications for Use (Descnbe)
The Branchor Balloon Guide Catheter is indicated for use to facilitate the insertion and guidance of an intravascular
catheler into a selected blood vessel in the neuro vasculature, and injection of contrast media.
The balloon provides tenporar vascular occlusion during these procedures.
The Branchor Balloon Guide Catheter can also be used as a conduit for retrieval devices.
Type of Use (Select one or both, as applicable)
Z Prescription Use (Part 21 CFR 801 Subpart D) O Over-The-Counter Use (21 CFR 801 Subpart C)
CONTINUE ON A SEPARATE PAGE IF NEEDED.
This section applies only to requirements of the Paperwork Reduction Act of 1995.
*DO NOT SEND YOUR COMPLETED FORM TO THE PRA STAFF EMAIL ADDRESS BELOW.*
The burden time for this collection of information is estimated to average 79 hours per response, including the
time to review instructions, search existing data sources, gather and maintain the data needed and complete
and review the collection of information Send comments regarding this burden estimate or any other aspect
of this information collection, including suggestions for reducing this burden, to:
Department of Health and Human Services
Food and Drug Administration
Office of Chief Information Officer
Paperwork Reduction Act (PRA) Staff
PRAStaff@fda.hhs.gov
""An agency may not conduct or sponsor, and a person is not required to respond to. a collection of
information unless it displays a currently valid OMB number.""
FORM FDA 3881 (6/20) Page 1 of I 11s an, n-

1
510(K) Summary
[as required by 21 CFR §807.92(c)]
510(K) K221951
DATE PREPARED: 11 OCT 2022
SUBMITTER: ASAHI INTECC CO., LTD
3-100 Akatsuki-cho, Seto
Aichi 489-0071, Japan
Telephone: +81 561 48 5551
PRIMARY CONTACT: Mrs. Cynthia Valenzuela
Director, Global Regulatory Affairs
ASAHI INTECC USA, INC.
3002 Dow Avenue, Suite 212
Tustin, California 92780
Phone: (949) 413 0071
Email: cynthiav@asahi-intecc-us.com
TRADE NAME: Branchor Balloon Guide Catheter
DEVICE CLASSIFICATION: Class II, 21 CFR §870.1250
CLASSIFICATION NAME: Percutaneous Catheter
PRODUCT CODE: QJP, Catheter, Percutaneous, Neurovasculature",,,,,K203723,"{""spec_note"": ""ID+OD present in record text (regex-verified); structured extraction pending"", ""spec_status"": ""text-verified""}",text-verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K203723.pdf,,,0.5,False,fda
neurovascular_access_catheters,balloon-catheter--asahi-intecc-co-ltd--branchor-x-balloon-guide-catheter,Branchor X Balloon Guide Catheter,asahi-intecc-co-ltd,balloon-catheter,510k,K251240,2025-06-20,2,Branchor X Balloon Guide Catheter,QJP,,"Indications for Use See PRA Statement below.
510(k) Number (if known)
K251240
Device Name
Branchor X Balloon Guide Catheter
Indications for Use (Describe)
The Branchor X Balloon Guide Catheter is indicated for use to facilitate the insertion and guidance of an intravascular
catheter into a selected blood vessel in the neuro vasculature, and injection of contrast media.
The balloon provides temporary vascular occlusion during these procedures.
The Branchor X Balloon Guide Catheter can also be used as a conduit for retrieval devices.
Type of Use (Select one or both, as applicable)
Prescription Use (Part 21 CFR 801 Subpart D) Over-The-Counter Use (21 CFR 801 Subpart C)
CONTINUE ON A SEPARATE PAGE IF NEEDED.
This section applies only to requirements of the Paperwork Reduction Act of 1995.
*DO NOT SEND YOUR COMPLETED FORM TO THE PRA STAFF EMAIL ADDRESS BELOW.*
The burden time for this collection of information is estimated to average 79 hours per response, including the
time to review instructions, search existing data sources, gather and maintain the data needed and complete
and review the collection of information. Send comments regarding this burden estimate or any other aspect
of this information collection, including suggestions for reducing this burden, to:
Department of Health and Human Services
Food and Drug Administration
Office of Chief Information Officer
Paperwork Reduction Act (PRA) Staff
PRAStaff@fda.hhs.gov
“An agency may not conduct or sponsor, and a person is not required to respond to, a collection of
information unless it displays a currently valid OMB number.”
FORM FDA 3881 (8/23) Page 1 of 1 PSC Publishing Services (301) 443-6740 EF

K251240
510(k) Summary
(as required by 21 CFR § 807.92)
Global Headquarters and R&D Center
3-100 Akatsuki-cho, Seto-shi, Aichi 489-0071 Japan
TEL : +81-561-48-5551 FAX : +81-561-48-5552
http://www.asahi-intecc.co.jp/
Branchor X Balloon Guide Catheter
K251240
Date Prepared: 11 June 2025
Applicant: ASAHI INTECC CO., LTD.
3-100 Akatsuki-cho,
Seto, Aichi 489-0071 Japan
Contact: Esther Kim
Quality System and Regulatory Affairs Associate
ASAHI INTECC USA, Inc.
3002 Dow Avenue, Suite 212
Tustin, CA 92780
Office: (949) 756-8901 ext 508
e-mail: aiu_ra@asahi-intecc-us.com
Trade/Device Name: Branchor X Balloon Guide Catheter
Regulation Number: 21 CFR § 870.1250
Classification Name: Percutaneous Catheter
Device Classification: Class II
Product Code: QJP – Catheter, Percutaneous, Neurovasculature",,,,,K221951 | K203723 | K120781 | K221951 | K203723 | K120781 | K251240 | K221951 | K251240 | K251240 | K221951 | K203723 | K120781 | K251240 | K221951 | K203723 | K120781 | K251240 | K251240 | K251240 | K251240 | K251240,"{""id_od"": {""extracted"": ""2026-08-23"", ""extraction_method"": ""pymupdf_text_regex_verified"", ""id"": {""mm"": 2.19}, ""k_number"": ""K251240"", ""max_od_is_proximal"": true, ""od_prox"": {""mm"": 3.0}, ""source_url"": ""https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251240.pdf"", ""units"": ""inches"", ""verbatim_quote"": ""m, 3.00 mm Shaft ID: 2.19 mm, 2.42 mm Shaft OD: 3.00 mm Shaft ID: 2.28 mm Shaft OD: 3.00 mm Shaft ID: 2.28 mm 6 Fr, 7 Fr, 8 Fr, 9 Fr Effective Length 90 cm, 95 cm, 97 cm 90 cm, 100 cm ""}, ""spec_status"": ""verified""}",verified,inches,,2.19,,,,3.0,,,,,,,,,,,,True,"m, 3.00 mm Shaft ID: 2.19 mm, 2.42 mm Shaft OD: 3.00 mm Shaft ID: 2.28 mm Shaft OD: 3.00 mm Shaft ID: 2.28 mm 6 Fr, 7 Fr, 8 Fr, 9 Fr Effective Length 90 cm, 95 cm, 97 cm 90 cm, 100 cm ",K251240,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251240.pdf,,,pymupdf_text_regex_verified,2026-08-23,,https://www.accessdata.fda.gov/cdrh_docs/pdf25/K251240.pdf,,,0.5,False,fda
neurovascular_access_catheters,balloon-catheter--cerenovus--emboguard-balloon-guide-catheter,EMBOGUARD Balloon Guide Catheter,cerenovus,balloon-catheter,,,,0,,,Balloon guide catheter designed for flow arrest during neurovascular interventions. Features ultra compliant balloon for atraumatic conformability and excellent trackability. Designed for seamless integration into the most commonly used stroke intervention set ups.,,,"EMBOTRAP III Revascularization Device, CEREBASE DA Guide Sheath, Prowler EX Microcatheter, CEREGLIDE 71 Intermediate Catheter (CERENOVUS Stroke Solutions system)","Better trackability than Walrus, FlowGate, and NeuronMax. More atraumatic balloon conformability than Walrus when inflated to 7mm in 5mm ID vessel. Better trackability than NeuronMax in model with challenging proximal carotid tortuosity plus 360 degree loop in ICA.",,EmboGuard | EMBOGUARD BGC,"{""spec_note"": ""ID+OD present in record text (regex-verified); structured extraction pending"", ""spec_status"": ""text-verified""}",text-verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.jnjmedtech.com/en-US/products/neurovascular/guide-sheaths/emboguard-balloon-guide-catheter/,0.3,False,scraper
neurovascular_access_catheters,balloon-catheter--fuji-systems-corporation--cello-ii-balloon-guide-catheter,CELLO II Balloon Guide Catheter,fuji-systems-corporation,balloon-catheter,510k,K223275,2022-12-09,2,CELLO II Balloon Guide Catheter,QJP,"Device Description
The CELLO II Balloon Guide Catheter is a coaxial-lumen, braid-reinforced, variable stiffness
catheter with one radiopaque ring marker on the distal end of the balloon and a bifurcated
Luer hub on the proximal end. A compliant urethane balloon is mounted on the distal end.
Balloon Guide Catheter dimensions and recommended balloon volumes are indicated on the
product label. Each catheter is supplied with inserters, a Y-Connector, 3-way stopcocks and
syringes.
The CELLO II Balloon Guide Catheters are intended for use in hospitals or other health care
facilities which are equipped with trained personnel and specialized equipment to perform
peripheral and neurovascular procedures.
The CELLO II Balloon Guide Catheter is intended for facilitating the insertion and guidance of
intravascular catheters into selected blood vessels in the peripheral and neuro vasculature
systems. The tip of the catheter features a balloon of urethane rubber. Radiopaque ring
marker identifies the distal end of the balloon. The shaft is a dual lumen type with coaxial
structure featuring a built-in braided stainless steel coil.

| Device Trade Name: | CELLO II Balloon Guide Catheter |
| --- | --- |
| Model Number: | 1650908, 1650909, 1651008, 1651009 |
| Classification: | Class II |
| Classification Name: | Percutaneous Catheter |
